"","labels","level2","level1"
"146","make up remover","cosmetics","perfumery"
"147","skin care","cosmetics","perfumery"
"148","female sanitary products","cosmetics","perfumery"
"149","baby cosmetics","cosmetics","perfumery"
"150","soap","soap","perfumery"
"151","rubbing alcohol","personal hygiene","perfumery"
"152","hygiene articles","perfumery","perfumery"
"153","napkins","perfumery","perfumery"
"154","dishes","non-food kitchen","non-food"
"155","cookware","non-food kitchen","non-food"
"156","kitchen utensil","non-food kitchen","non-food"
"157","cling film/bags","non-food kitchen","non-food"
"158","kitchen towels","non-food house keeping products","non-food"
"159","house keeping products","non-food house keeping products","non-food"
"160","candles","non-food house keeping products","non-food"
"161","light bulbs","non-food house keeping products","non-food"
"162","sound storage medium","games/books/hobby","non-food"
"163","newspapers","games/books/hobby","non-food"
"164","photo/film","games/books/hobby","non-food"
"165","pot plants","garden","non-food"
"166","flower soil/fertilizer","garden","non-food"
"167","flower (seeds)","garden","non-food"
"168","shopping bags","bags","non-food"
"169","bags","bags","non-food"
